,Non-401k Financial Assets,Net Financial Assets,Total Wealth,Age,Income,Family Size,Education,Has Defined Benefit Pension,Is Married,Is Two Earner Household,Eligible for 401K,Has 401K,Has IRA,Owns Home
69,210.0,10.0,5606.0,29.0,16194.0,3.0,12.0,N,N,N,N,N,N,Y
70,2000.0,1400.0,26400.0,58.0,14400.0,5.0,4.0,N,Y,N,N,N,N,Y
71,8100.0,10600.0,16600.0,46.0,41622.0,5.0,11.0,N,Y,N,N,N,Y,Y
72,32.0,-1068.0,53932.0,42.0,60384.0,4.0,12.0,N,Y,Y,N,N,N,Y
73,43000.0,41302.0,136302.0,63.0,46122.0,2.0,13.0,N,Y,N,N,N,N,Y
74,9725.0,10055.0,74055.0,34.0,41757.0,4.0,12.0,N,Y,N,N,N,Y,Y
75,600.0,-100.0,54900.0,40.0,58320.0,3.0,12.0,N,Y,Y,N,N,N,Y
76,100.0,-5100.0,-2718.0,35.0,38244.0,3.0,16.0,N,Y,Y,N,N,N,N
77,250.0,-550.0,9450.0,43.0,14292.0,3.0,12.0,N,Y,N,N,N,N,Y
78,0.0,-1400.0,23600.0,37.0,24231.0,4.0,13.0,N,Y,Y,N,N,N,Y
79,800.0,800.0,7800.0,32.0,25314.0,1.0,12.0,N,N,N,N,N,N,N
80,53.0,-1847.0,-1347.0,54.0,4917.0,1.0,11.0,N,N,N,N,N,N,N
81,1150.0,-50.0,32792.0,30.0,12051.0,1.0,18.0,N,N,N,N,N,N,N
82,3000.0,3000.0,63000.0,53.0,30780.0,4.0,8.0,Y,Y,Y,N,N,N,Y
83,50000.0,62800.0,378600.0,57.0,61500.0,3.0,13.0,N,Y,N,N,N,Y,Y
84,3000.0,-9100.0,4700.0,29.0,49200.0,2.0,17.0,N,Y,Y,N,N,N,Y
85,0.0,0.0,0.0,49.0,11730.0,6.0,4.0,N,Y,N,N,N,N,N
86,24999.0,24999.0,224999.0,49.0,63396.0,3.0,16.0,N,Y,N,N,N,N,Y
87,10.0,10.0,2010.0,34.0,7329.0,1.0,16.0,N,N,N,N,N,N,N
88,0.0,0.0,0.0,26.0,17952.0,1.0,15.0,N,N,N,N,N,N,N
89,0.0,0.0,500.0,37.0,18942.0,4.0,14.0,N,N,N,N,N,N,N
90,800.0,-5000.0,35000.0,25.0,27480.0,3.0,12.0,N,Y,Y,N,N,N,Y
91,20.0,20.0,60520.0,57.0,6885.0,2.0,12.0,N,N,N,N,N,N,Y
92,200.0,200.0,3025.0,28.0,17370.0,1.0,12.0,N,N,N,N,N,N,N
93,0.0,0.0,0.0,32.0,37593.0,4.0,16.0,Y,Y,Y,N,N,N,N
94,105.0,-1345.0,-1345.0,63.0,16575.0,2.0,11.0,N,Y,Y,N,N,N,N
95,250.0,-3250.0,22250.0,27.0,29766.0,2.0,14.0,N,Y,N,N,N,N,Y
96,4050.0,11700.0,195500.0,38.0,77124.0,1.0,17.0,N,N,N,N,N,Y,Y
97,3720.0,3720.0,25220.0,60.0,2307.0,2.0,10.0,N,N,N,N,N,N,Y
98,400.0,-1600.0,-1600.0,28.0,29922.0,6.0,11.0,N,Y,Y,N,N,N,Y
99,22600.0,26600.0,91600.0,38.0,80550.0,2.0,18.0,N,Y,Y,N,N,Y,Y
100,2700.0,2700.0,29550.0,44.0,32460.0,2.0,14.0,Y,Y,N,N,N,N,Y
101,4249.0,49.0,102049.0,38.0,39420.0,4.0,14.0,N,Y,Y,N,N,N,Y
102,0.0,0.0,19500.0,42.0,18000.0,1.0,1.0,N,N,N,N,N,N,Y
103,599.0,15599.0,16099.0,61.0,19278.0,1.0,8.0,Y,N,N,N,N,Y,N
104,3135.0,2905.0,19605.0,51.0,19956.0,3.0,12.0,N,Y,N,N,N,N,Y
105,16520.0,15970.0,60470.0,37.0,7182.0,1.0,18.0,N,N,N,N,N,N,Y
106,0.0,-86500.0,-66500.0,57.0,47193.0,2.0,12.0,N,Y,Y,N,N,N,N
107,0.0,-4200.0,-2280.0,27.0,13200.0,2.0,12.0,N,N,N,N,N,N,N
108,0.0,-2415.0,-1515.0,38.0,14892.0,5.0,12.0,N,Y,Y,N,N,N,N
109,0.0,0.0,3136.0,29.0,13500.0,2.0,12.0,N,N,N,N,N,N,N
110,444.0,44.0,23044.0,46.0,72099.0,2.0,16.0,N,Y,N,N,N,N,Y
111,90130.0,90930.0,99930.0,36.0,93648.0,2.0,18.0,N,Y,Y,N,N,Y,N
112,3500.0,4700.0,166400.0,56.0,48690.0,3.0,12.0,Y,Y,Y,N,N,Y,Y
113,0.0,-712.0,-712.0,30.0,9009.0,4.0,6.0,N,Y,N,N,N,N,N
114,65.0,-635.0,-635.0,29.0,36213.0,6.0,9.0,N,Y,Y,N,N,N,N
115,0.0,0.0,200.0,26.0,10200.0,1.0,14.0,N,N,N,N,N,N,N
116,1800.0,-2200.0,4800.0,34.0,43716.0,3.0,12.0,Y,Y,Y,N,N,N,N
117,0.0,-5055.0,22945.0,59.0,9078.0,2.0,6.0,N,Y,N,N,N,N,Y
118,2499.0,5399.0,7399.0,31.0,13479.0,3.0,12.0,N,Y,N,N,N,Y,N
119,2500.0,-2100.0,35900.0,29.0,31569.0,4.0,17.0,N,Y,N,N,N,N,Y
120,600.0,600.0,51600.0,49.0,17874.0,2.0,12.0,N,N,N,N,N,N,Y
121,3499.0,7299.0,97299.0,31.0,43005.0,2.0,12.0,N,Y,Y,N,N,Y,Y
122,16000.0,15100.0,27100.0,33.0,33885.0,2.0,16.0,N,Y,Y,N,N,N,Y
123,0.0,0.0,0.0,40.0,10260.0,1.0,12.0,N,N,N,N,N,N,N
124,15130.0,31791.0,135141.0,53.0,23721.0,1.0,13.0,Y,N,N,N,N,Y,Y
125,500.0,-400.0,4266.0,30.0,23118.0,1.0,16.0,Y,N,N,N,N,N,N
126,0.0,-12000.0,4600.0,32.0,25305.0,3.0,12.0,N,Y,Y,N,N,N,Y
127,499.0,499.0,18499.0,47.0,49206.0,4.0,16.0,N,Y,Y,N,N,N,Y
128,4650.0,4500.0,22500.0,33.0,30075.0,3.0,6.0,N,Y,Y,N,N,N,Y
129,1575.0,-10525.0,1475.0,30.0,35058.0,2.0,16.0,N,Y,Y,N,N,N,N
130,0.0,-170.0,-170.0,43.0,15330.0,5.0,10.0,N,Y,N,N,N,N,N
131,0.0,0.0,7579.0,26.0,22080.0,3.0,12.0,Y,N,N,N,N,N,N
132,1000.0,1000.0,8000.0,44.0,65400.0,4.0,16.0,Y,Y,Y,N,N,N,N
133,25.0,-9764.0,-2764.0,43.0,11454.0,5.0,12.0,N,Y,N,N,N,N,Y
134,17075.0,17075.0,284425.0,35.0,30300.0,2.0,18.0,N,N,N,N,N,N,Y
135,2010.0,2010.0,8110.0,48.0,29238.0,4.0,10.0,N,Y,N,N,N,N,Y
136,600.0,600.0,8600.0,42.0,10428.0,3.0,12.0,N,N,N,N,N,N,Y
137,29049.0,41549.0,104861.0,39.0,84111.0,1.0,18.0,Y,N,N,N,N,Y,Y
138,26882.0,26564.0,84564.0,45.0,70035.0,2.0,10.0,N,N,N,N,N,N,N
139,0.0,0.0,0.0,40.0,10560.0,2.0,12.0,N,N,N,N,N,N,N
140,900.0,44763.0,119763.0,62.0,40500.0,3.0,11.0,N,Y,Y,N,N,Y,Y
141,1200.0,1600.0,4100.0,36.0,31869.0,1.0,16.0,N,N,N,N,N,Y,N
142,10029.0,10029.0,12279.0,30.0,21306.0,2.0,16.0,N,N,N,N,N,N,Y
143,29850.0,29715.0,112815.0,35.0,74178.0,4.0,14.0,N,Y,N,N,N,N,Y
144,4414.0,4144.0,20894.0,44.0,47769.0,6.0,12.0,N,Y,N,N,N,N,Y
145,1500.0,-18500.0,47000.0,56.0,12024.0,2.0,12.0,N,N,N,N,N,N,Y
146,0.0,0.0,0.0,35.0,2640.0,4.0,9.0,N,N,N,N,N,N,N
147,36.0,-1564.0,69536.0,49.0,22395.0,5.0,12.0,Y,Y,Y,N,N,N,Y
148,381500.0,385000.0,546510.0,43.0,50484.0,3.0,12.0,N,N,N,N,N,Y,Y
149,2000.0,-4000.0,475.0,45.0,42576.0,1.0,16.0,Y,N,N,N,N,N,N
150,0.0,0.0,12150.0,38.0,10443.0,4.0,12.0,N,N,N,N,N,N,N
151,1800.0,1800.0,2300.0,32.0,19224.0,1.0,14.0,Y,N,N,N,N,N,N
152,125.0,1500.0,8300.0,32.0,34455.0,3.0,13.0,N,Y,Y,N,N,Y,Y
153,230.0,-21070.0,-15696.0,27.0,33453.0,3.0,16.0,Y,Y,Y,N,N,N,Y
154,8500.0,12500.0,52250.0,44.0,21234.0,1.0,15.0,Y,N,N,N,N,Y,Y
155,6000.0,6000.0,24550.0,32.0,21930.0,1.0,14.0,N,N,N,N,N,N,N
156,4000.0,-5000.0,84800.0,48.0,45165.0,3.0,12.0,N,Y,Y,N,N,N,Y
157,200.0,-300.0,71700.0,39.0,20760.0,2.0,12.0,N,Y,Y,N,N,N,Y
158,1100.0,-3900.0,1779.0,31.0,27150.0,3.0,12.0,N,N,N,N,N,N,N
159,850.0,850.0,850.0,26.0,16116.0,3.0,13.0,N,Y,N,N,N,N,N
160,5.0,-595.0,50788.0,31.0,31536.0,4.0,12.0,Y,Y,Y,N,N,N,Y
161,13000.0,12877.0,21877.0,31.0,37461.0,4.0,12.0,N,Y,Y,N,N,N,Y
162,12900.0,60300.0,60300.0,38.0,110181.0,5.0,12.0,N,Y,Y,N,N,Y,N
163,30.0,30.0,530.0,35.0,24123.0,3.0,14.0,Y,N,N,N,N,N,N
164,135.0,-15565.0,-565.0,35.0,28782.0,5.0,13.0,N,Y,Y,N,N,N,Y
165,1500.0,1500.0,7500.0,42.0,36666.0,3.0,18.0,N,Y,Y,N,N,N,Y
166,4000.0,300.0,38300.0,44.0,72975.0,3.0,10.0,Y,Y,Y,N,N,N,Y
167,300.0,-5250.0,-4550.0,48.0,49656.0,3.0,12.0,N,Y,Y,N,N,N,N
168,4549.0,-10491.0,-3491.0,36.0,36267.0,4.0,15.0,N,Y,Y,N,N,N,Y
169,3800.0,1300.0,22300.0,35.0,55374.0,3.0,12.0,N,Y,Y,N,N,Y,Y
170,300.0,0.0,4875.0,28.0,22833.0,3.0,12.0,N,N,N,N,N,N,N
171,8000.0,-2000.0,-145.0,37.0,69120.0,3.0,16.0,N,Y,Y,N,N,N,N
172,1000.0,1000.0,1000.0,34.0,24465.0,3.0,11.0,N,Y,Y,N,N,N,N
173,4454.0,454.0,45654.0,46.0,80862.0,5.0,17.0,Y,Y,Y,N,N,N,Y
174,609.0,209.0,329.0,30.0,33420.0,4.0,12.0,N,Y,Y,N,N,N,N
175,1810.0,1460.0,30210.0,54.0,7440.0,1.0,8.0,Y,N,N,N,N,N,Y
176,8400.0,-9600.0,109900.0,47.0,15141.0,2.0,12.0,N,Y,N,N,N,N,Y
177,700.0,4572.0,4572.0,34.0,20667.0,4.0,12.0,N,Y,Y,N,N,Y,N
178,25699.0,25699.0,105599.0,52.0,30870.0,3.0,13.0,N,Y,Y,N,N,N,Y
179,2950.0,2924.0,6774.0,27.0,16860.0,1.0,12.0,N,N,N,N,N,N,N
180,0.0,0.0,3350.0,43.0,16080.0,1.0,14.0,N,N,N,N,N,N,N
181,30000.0,26000.0,180000.0,40.0,52998.0,1.0,18.0,Y,N,N,N,N,N,Y
182,1100.0,740.0,2740.0,28.0,16830.0,1.0,13.0,Y,N,N,N,N,N,N
183,5000.0,4000.0,34000.0,63.0,37320.0,2.0,8.0,N,Y,N,N,N,N,Y
184,1799.0,1799.0,1799.0,54.0,53133.0,3.0,18.0,N,Y,Y,N,N,N,N
185,100.0,100.0,100.0,35.0,28998.0,3.0,12.0,Y,N,N,N,N,N,N
186,5000.0,4500.0,13000.0,59.0,7740.0,2.0,7.0,N,Y,N,N,N,N,Y
187,0.0,-300.0,3050.0,33.0,13755.0,3.0,12.0,Y,N,N,N,N,N,N
188,200.0,200.0,200.0,30.0,42315.0,2.0,14.0,N,Y,Y,N,N,N,Y
189,200.0,200.0,75200.0,58.0,20490.0,4.0,12.0,N,Y,Y,N,N,N,Y
190,50.0,-397.0,103.0,35.0,21177.0,4.0,12.0,N,N,N,N,N,N,N
191,0.0,0.0,0.0,35.0,21735.0,4.0,12.0,N,Y,Y,N,N,N,N
192,0.0,-9550.0,-7616.0,42.0,12600.0,1.0,12.0,N,N,N,N,N,N,Y
193,83100.0,130812.0,200812.0,59.0,45519.0,2.0,12.0,N,Y,Y,N,N,Y,Y
194,49.0,49.0,49.0,48.0,26958.0,3.0,13.0,N,Y,N,N,N,N,N
195,10000.0,4600.0,149600.0,32.0,50970.0,2.0,15.0,N,Y,N,N,N,N,Y
196,650.0,50.0,22550.0,43.0,39612.0,2.0,12.0,N,Y,Y,N,N,N,Y
197,49.0,-1951.0,-1951.0,31.0,24012.0,2.0,13.0,N,Y,Y,N,N,N,N
198,846.0,-2854.0,43746.0,54.0,28059.0,5.0,16.0,N,Y,Y,N,N,Y,N
199,0.0,0.0,500.0,27.0,16200.0,1.0,12.0,N,N,N,N,N,N,N
200,2600.0,1800.0,3466.0,45.0,14850.0,2.0,12.0,N,N,N,N,N,N,Y
201,41499.0,41499.0,121499.0,58.0,20976.0,1.0,13.0,N,N,N,N,N,N,Y
202,402.0,-3386.0,-3386.0,29.0,16902.0,7.0,1.0,N,Y,N,N,N,N,N
203,400.0,-400.0,-400.0,63.0,11877.0,3.0,12.0,N,N,N,N,N,N,N
204,603.0,-6397.0,33703.0,43.0,11103.0,4.0,14.0,N,N,N,N,N,N,N
205,5800.0,-1700.0,4096.0,29.0,39051.0,1.0,16.0,N,N,N,N,N,N,N
206,1000.0,-500.0,24858.0,51.0,19968.0,2.0,18.0,N,N,N,N,N,N,Y
207,75.0,-225.0,575.0,44.0,42744.0,2.0,13.0,Y,Y,Y,N,N,N,N
208,1600.0,8400.0,98400.0,38.0,78396.0,4.0,16.0,N,Y,Y,N,N,Y,Y
209,395.0,-11635.0,7665.0,37.0,34803.0,5.0,11.0,N,Y,Y,N,N,N,Y
210,3000.0,2750.0,146750.0,44.0,10446.0,5.0,12.0,N,Y,N,N,N,N,Y
211,67600.0,67600.0,94600.0,44.0,34755.0,4.0,1.0,N,Y,N,N,N,N,Y
212,31.0,31.0,4791.0,29.0,15174.0,4.0,12.0,N,N,N,N,N,N,Y
213,360.0,-165.0,335.0,37.0,20421.0,1.0,13.0,N,N,N,N,N,N,N
214,5999.0,28999.0,186499.0,42.0,55110.0,4.0,12.0,N,Y,Y,N,N,Y,Y
215,800.0,500.0,50500.0,38.0,28050.0,4.0,12.0,N,Y,N,N,N,N,Y
216,100.0,50.0,4550.0,40.0,12120.0,4.0,12.0,Y,N,N,N,N,N,Y
217,0.0,0.0,101546.0,31.0,28080.0,3.0,12.0,N,Y,Y,N,N,N,Y
218,4000.0,-101436.0,-100736.0,31.0,42555.0,3.0,13.0,N,Y,Y,N,N,N,N
219,3399.0,3399.0,6399.0,31.0,37509.0,1.0,16.0,N,N,N,N,N,N,N
220,0.0,0.0,0.0,35.0,9042.0,1.0,12.0,Y,N,N,N,N,N,N
221,4950.0,4210.0,60209.0,42.0,57180.0,4.0,18.0,N,Y,Y,N,N,N,Y
222,131.0,131.0,18131.0,39.0,11604.0,3.0,18.0,N,Y,Y,N,N,N,Y
223,1266.0,-1804.0,7196.0,27.0,23400.0,3.0,5.0,N,Y,Y,N,N,N,N
224,259.0,259.0,167084.0,62.0,20622.0,1.0,16.0,N,N,N,N,N,N,Y
225,599.0,599.0,37841.0,27.0,10836.0,3.0,14.0,N,N,N,N,N,N,Y
226,1490.0,1490.0,6490.0,38.0,12816.0,4.0,10.0,N,Y,N,N,N,N,Y
227,1150.0,3450.0,3450.0,33.0,43830.0,3.0,15.0,N,Y,Y,N,N,Y,Y
228,875.0,2225.0,24925.0,60.0,22986.0,2.0,12.0,N,Y,Y,N,N,Y,Y
229,0.0,3000.0,3000.0,60.0,37794.0,2.0,13.0,N,Y,Y,N,N,Y,N
230,100.0,100.0,38450.0,52.0,4890.0,1.0,10.0,N,N,N,N,N,N,Y
231,1000.0,294.0,33794.0,61.0,19545.0,3.0,12.0,N,Y,Y,N,N,N,Y
232,1000.0,700.0,16000.0,31.0,19860.0,1.0,14.0,N,N,N,N,N,N,N
233,36000.0,52000.0,73000.0,61.0,13206.0,4.0,12.0,N,N,N,N,N,Y,Y
234,71200.0,89900.0,342400.0,49.0,23250.0,1.0,12.0,N,N,N,N,N,Y,Y
235,758.0,1258.0,66258.0,34.0,60615.0,4.0,14.0,N,Y,Y,N,N,Y,Y
236,4000.0,4000.0,5000.0,31.0,23529.0,1.0,16.0,Y,N,N,N,N,N,N
237,3800.0,3800.0,79760.0,29.0,37704.0,3.0,12.0,N,Y,Y,N,N,N,Y
238,8999.0,8199.0,45299.0,33.0,24612.0,5.0,6.0,N,N,N,N,N,N,Y
239,9400.0,-13600.0,-13600.0,33.0,38550.0,3.0,14.0,N,Y,Y,N,N,Y,N
240,165000.0,195000.0,329000.0,44.0,128700.0,4.0,17.0,Y,Y,Y,N,N,Y,Y
241,0.0,-450.0,-450.0,31.0,12816.0,4.0,12.0,N,N,N,N,N,N,N
242,0.0,0.0,31900.0,47.0,37800.0,2.0,14.0,N,N,N,N,N,N,Y
243,549.0,-7451.0,-5951.0,40.0,17880.0,3.0,12.0,N,N,N,N,N,N,N
244,280.0,-7920.0,6080.0,41.0,19641.0,3.0,12.0,N,N,N,N,N,N,Y
245,0.0,0.0,750.0,36.0,5103.0,2.0,12.0,N,N,N,N,N,N,N
246,30.0,30.0,25530.0,29.0,12756.0,1.0,12.0,N,N,N,N,N,N,N
247,0.0,0.0,0.0,33.0,4845.0,3.0,12.0,N,N,N,N,N,N,N
248,8100.0,12192.0,41192.0,27.0,31830.0,3.0,15.0,N,Y,Y,N,N,Y,Y
249,499.0,99.0,99.0,42.0,23430.0,5.0,13.0,N,N,N,N,N,N,N
250,1900.0,900.0,16400.0,36.0,42114.0,6.0,15.0,N,Y,Y,N,N,N,N
251,5000.0,5000.0,6300.0,32.0,11100.0,5.0,1.0,N,Y,N,N,N,N,N
252,0.0,0.0,500.0,26.0,5280.0,1.0,12.0,N,N,N,N,N,N,Y
253,1199.0,-6301.0,-3801.0,39.0,37569.0,4.0,12.0,N,Y,Y,N,N,N,N
254,16900.0,24900.0,52625.0,45.0,43239.0,1.0,12.0,Y,N,N,N,N,Y,Y
255,31887.0,59061.0,418561.0,63.0,71184.0,2.0,12.0,N,Y,Y,N,N,Y,Y
256,900.0,-350.0,149650.0,31.0,59544.0,4.0,16.0,Y,Y,Y,N,N,N,Y
257,0.0,0.0,0.0,30.0,4200.0,6.0,11.0,Y,N,N,N,N,N,N
258,0.0,0.0,60000.0,46.0,7668.0,2.0,8.0,N,N,N,N,N,N,Y
259,0.0,0.0,0.0,55.0,7872.0,2.0,11.0,N,N,N,N,N,N,N
260,100.0,-2100.0,8980.0,38.0,31896.0,5.0,15.0,Y,Y,Y,N,N,N,Y
261,0.0,0.0,0.0,25.0,14439.0,3.0,9.0,N,Y,N,N,N,N,N
262,3899.0,3899.0,3899.0,34.0,19713.0,3.0,12.0,N,Y,N,N,N,N,N
263,28000.0,28000.0,140822.0,41.0,31254.0,1.0,18.0,Y,N,N,N,N,N,Y
264,60000.0,62300.0,64800.0,35.0,63525.0,1.0,18.0,N,N,N,N,N,Y,N
265,700.0,-6600.0,44300.0,43.0,31800.0,3.0,12.0,Y,N,N,N,N,N,Y
266,49.0,-451.0,32649.0,60.0,24996.0,4.0,10.0,Y,Y,Y,N,N,N,Y
267,0.0,0.0,25000.0,51.0,36450.0,3.0,12.0,N,Y,N,N,N,N,Y
268,3000.0,2600.0,2600.0,60.0,21072.0,2.0,15.0,N,Y,Y,N,N,N,N
269,200.0,200.0,17950.0,49.0,18012.0,2.0,12.0,N,N,N,N,N,N,Y
270,0.0,-600.0,2900.0,42.0,12240.0,3.0,12.0,N,Y,N,N,N,N,N
271,734.0,734.0,85734.0,53.0,31386.0,3.0,12.0,N,Y,N,N,N,N,Y
272,150.0,-4850.0,-107.0,34.0,21645.0,2.0,14.0,Y,N,N,N,N,N,N
273,2499.0,-633.0,60067.0,56.0,17724.0,3.0,13.0,N,Y,N,N,N,N,Y
274,12100.0,14800.0,61800.0,53.0,37482.0,3.0,12.0,N,Y,Y,N,N,Y,Y
275,1000.0,-3300.0,14700.0,58.0,27639.0,2.0,10.0,N,Y,N,N,N,N,Y
276,3360.0,360.0,17860.0,26.0,30720.0,1.0,16.0,N,N,N,N,N,N,Y
277,2549.0,2549.0,11010.0,38.0,18438.0,6.0,11.0,N,Y,N,N,N,N,N
278,0.0,-800.0,-800.0,38.0,19125.0,7.0,12.0,N,Y,N,N,N,N,N
279,0.0,12000.0,18375.0,35.0,13704.0,6.0,12.0,N,Y,N,N,N,Y,Y
